Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
Prior Knowledge,priorknowledge.com,$1.4M,Disrupt SF 2012,Finalist,Acquired,,,,,,,
Prism Skylabs,prism.com,$24M,Disrupt SF 2011,Runner up,Operating,,,,,,,
productboard,productboard.com,$1.7M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Publish2,publish2.com,$2.8M,Disrupt NYC 2010,Finalist,Operating,,,,,,,
PubMatic,pubmatic.com,$63M,TC40 2007,Contestant,Operating,,,,,,,
Punch!,punch.is,$2.2M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Pundit,getpundit.com,$120K,Disrupt SF 2016,Contestant,Operating,,,,,,,
Qardio,getqardio.com,$948K,Disrupt EU 2013,Contestant,Operating,,,,,,,
Quant the News,quantnews.com,$150K,TC50 2008,Contestant,Closed,,,,,,,
Questli,questli.com,,Disrupt SF 2011,Audience choice,Closed,,,,,,,
QuickFire Networks,quickfirenetworks.com,,Disrupt SF 2014,Contestant,Acquired,,,,,,,
Qwiki,qwiki.com,$10.5M,Disrupt SF 2010,Winner,Acquired,,,,,,,
Rackup,rackup.com,$3.5M,TC50 2009,Contestant,Closed,,,,,,,
Radiusly,radiusly.com,,TC50 2009,Contestant,Closed,,,,,,,
Rainbow,,$3.3M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Rallyteam,rallyteam.com,$20K,Disrupt SF 2014,Contestant,Operating,,,,,,,
Redbeacon,redbeacon.com,$7.4M,TC50 2009,Winner,Acquired,,,,,,,
RefMob,refmobworks.com,,TC50 2009,Contestant,Operating,,,,,,,
Regalii,regalii.com,$6M,Disrupt SF 2013,Finalist,Operating,,,,,,,
Relevancy Data,relevancydata.com,$20.3K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Remark,remarkhq.com,$100K,Disrupt SF 2013,Contestant,Operating,,,,,,,
Rentlord,rentlord.com,,Disrupt SF 2011,Contestant,Operating,,,,,,,
Rewardli,rewardli.com,$765K,Disrupt SF 2011,Contestant,Operating,,,,,,,
Rex Animal Health,rexanimalhealth.com,$145K,Disrupt SF 2016,Contestant,Operating,,,,,,,
Rexly,rexly.com,$20K,Disrupt NYC 2011,Contestant,Acquired,,,,,,,
Richi,richi.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Rinen,opentrace.org,,TC50 2008,Contestant,Closed,,,,,,,
Ripio,ripio.com,$7M,Disrupt NY 2016,Finalist,Operating,,,,,,,
Ritual,ritual.com,$5M,Disrupt NY 2016,Finalist,Operating,,,,,,,
Roadie,roadie.com,$25M,Disrupt NYC 2014,Audience choice,Operating,,,,,,,
Robin Technologies Inc,tryrobin.com,$1.2M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Robo Wunderkind,robowunderkind.com,$956K,Disrupt SF 2015,Contestant,Operating,,,,,,,
Robotbase,robotbase.com,$250K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Rollout.io,rollout.io,$3M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Satago,satago.com,$7.7M,Disrupt EU 2013,Contestant,Acquired,,,,,,,
Saya,saya.im,,Disrupt SF 2012,Finalist,Acquired,,,,,,,
sciencebite,sciencebite.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
Scoutible,scoutible.com,$1.5M,Disrupt NY 2016,Contestant,Operating,,,,,,,
Scrumpt,scrumptbox.com,,Disrupt SF 2015,Finalist,Operating,,,,,,,
Sealtale,sealtale.com,,TC50 2009,Contestant,Closed,,,,,,,
SeatGeek,seatgeek.com,$160M,TC50 2009,Contestant,Operating,,,,,,,
Sedicii,sedicii.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Seeds,playseeds.com,$800K,Disrupt London 2016,Contestant,Operating,,,,,,,
Seenit,seenit.io,$1.4M,Disrupt London 2016,Winner,Operating,,,,,,,
Selequity,selequity.com,$590K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Self Lender,selflender.com,$2M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Sensay,sensay.it,$6M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Sensibo,sensibo.com,$3.4M,Hardware Battlefield 2015,Audience choice,Operating,,,,,,,
Sentinl inc.,sentinl.com,$100K,Hardware Battlefield 2016,Finalist,Operating,,,,,,,
Sentri,sentri.me,$855.4K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Sentry Scientific,sentryscientific.com,,Hardware Battlefield 2014,Contestant,Operating,,,,,,,
Separate.Us,separate.us,$165K,Disrupt SF 2015,Contestant,Operating,,,,,,,
SeqCentral,seqcentral.com,,Disrupt SF 2010,Contestant,Operating,,,,,,,
Sereneti Kitchen,sereneti.com,$150K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Sevenhugs,sevenhugs.com,$16.2M,Disrupt London 2015,Contestant,Operating,,,,,,,
Shaker,atshaker.com,$18M,Disrupt SF 2011,Winner,Operating,,,,,,,
Shakr Media,shakr.com,$3.8M,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Shape,shapescale.com,,-,Contestant,Operating,,,,,,,
Share Practice,sharepractice.com,$4.1M,Disrupt NYC 2013,Contestant,Closed,,,,,,,
Shattered Reality Interactive,srinteractive.com,$1.1M,TC50 2008,Contestant,Closed,,,,,,,
Sher.ly,sher.ly,$1.4M,Disrupt EU 2013,Contestant,Operating,,,,,,,
ShieldSquare,shieldsquare.com,$350K,Disrupt SF 2015,Audience choice,Operating,,,,,,,
ShipHawk,shiphawk.com,$6M,Disrupt NYC 2013,Audience choice,Operating,,,,,,,
SHL Telemedicine,shl-telemedicine.com,,Disrupt NYC 2011,Contestant,Ipo,,,,,,,
ShoCard,shocard.com,$1.5M,Disrupt NY 2015,Contestant,Operating,,,,,,,
ShowKit,showkit.com,$440K,Disrupt NYC 2014,Finalist,Operating,,,,,,,
Shufflehub,shufflehub.com,,Disrupt EU 2013,Contestant,Operating,,,,,,,
Sign2Pay,sign2pay.com,$684.4K,Disrupt EU 2014,Contestant,Operating,,,,,,,
Simply Grid,simplygrid.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Siren Care,siren.care,$129.8K,-,Winner,Operating,,,,,,,
SizeUp,sizeup.com,,Disrupt SF 2011,Contestant,Operating,,,,,,,
Skaffl,skaffl.com,$118K,Disrupt SF 2013,Contestant,Operating,,,,,,,
Skylines,skylines.io,$700K,Disrupt NYC 2011,Contestant,Closed,,,,,,,
SkySpecs,skyspecs.com,$3.5M,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
SlickLogin,slicklogin.com,$20K,Disrupt SF 2013,Contestant,Acquired,,,,,,,
Slides,slides.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,
SmartyPans,smartypans.io,,-,Contestant,Operating,,,,,,,
Smoretgage,smoretgage.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
SnapDragon,playsnapdragon.com,,Disrupt SF 2010,Contestant,Closed,,,,,,,
SnipSnap,snipsnap.it,$2.8M,Disrupt NYC 2012,Contestant,Acquired,,,,,,,
Social Stock,socialstock.com,,Disrupt NYC 2012,Contestant,Closed,,,,,,,
Socialwok,socialwok.com,,TC50 2009,Audience choice,Closed,,,,,,,
Soluto,soluto.com,$18M,Disrupt NYC 2010,Winner,Acquired,,,,,,,
Sonar,sonarapp.com,,Disrupt NYC 2011,Runner up,Operating,,,,,,,
SOP Notify,sopnotify.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
Spacebar,spacebar.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Spawn Labs,spawnlabs.com,$1M,TC50 2009,Contestant,Acquired,,,,,,,
Spenz,spenz.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Spincle,spincle.io,,Disrupt SF 2016,Contestant,Operating,,,,,,,
Spinlister,spinlister.com,$2.3M,Disrupt SF 2012,Audience choice,Operating,,,,,,,
Spinn Inc.,spinn.com,$2.6M,Disrupt NY 2016,Contestant,Operating,,,,,,,
SpokenLayer,spokenlayer.com,$482K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Spool,getspool.com,$1M,Disrupt SF 2011,Contestant,Acquired,,,,,,,
SpotlessCity,spotlesscity.com,$200K,Disrupt NYC 2012,Contestant,Closed,,,,,,,
SpotOn,spoton.com,$5M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Spott,spo.tt,,TC40 2007,Contestant,Operating,,,,,,,
Sprowtt Marketplace,sprowtt.com,,TC50 2009,Contestant,Closed,,,,,,,
Sqreen,sqreen.io,$2.3M,Disrupt SF 2016,Finalist,Operating,,,,,,,
Stack Lighting,stacklighting.com,,Disrupt SF 2014,Finalist,Operating,,,,,,,
"Staffly, Inc.",staffly.com,$1.3M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Stampery,stampery.com,$600K,Disrupt SF 2015,Contestant,Operating,,,,,,,
StandWith,launch.standwith.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Stepcase,stepcase.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Stereolabs,stereolabs.com,$2M,Hardware Battlefield 2016,Contestant,Operating,,,,,,,
Stevie,stevie.com,$2.1M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Stitch,teamstitch.com,$120K,Disrupt SF 2015,Finalist,Operating,,,,,,,
Storify,storify.com,$23K,Disrupt SF 2010,Contestant,Acquired,,,,,,,
StoryBlender,storyblender.com,$1.5M,TC40 2007,Contestant,Closed,,,,,,,
StoryBox,getstorybox.com,$2.4M,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Storysomething,storysomething.com,,TC50 2009,Contestant,Closed,,,,,,,
Stratio,stratio.com,,-,Finalist,Operating,,,,,,,
Stribe,stribe.com,$600K,TC50 2009,Contestant,Closed,,,,,,,
StudyHall,studyhall.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
StudyRoom,getstudyroom.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
StyleSaint,stylesaint.com,$5.8M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
StyleSeat,styleseat.com,$40M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Sumazi,sumazi.com,,Disrupt SF 2010,Contestant,Operating,,,,,,,
Sunglass,sunglasshut.com,$1.8M,Disrupt NYC 2012,Finalist,Closed,,,,,,,
Superfly,superfly.com,$500K,Disrupt SF 2010,Contestant,Operating,,,,,,,
Supplizer,supplizer.com/,,Disrupt NYC 2013,Contestant,Closed,,,,,,,
SupplyShift,supplyshift.net,$485K,Disrupt NYC 2013,Finalist,Operating,,,,,,,
Sutro,sutrobio.com,$863K,Hardware Battlefield 2015,Finalist,Operating,,,,,,,
Switchmate,myswitchmate.com,,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Swype,swype.com,$15.6M,TC50 2008,Finalist,Acquired,,,,,,,
Symphony Commerce,symphonycommerce.com,$47.4M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
TableGrabber,tablegrabber.com,$323.8K,Disrupt SF 2014,Contestant,Operating,,,,,,,
Tagbrand,tagbrand.com,$600K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Tailor Brands,tailorbrands.com,$5.1M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Talk to IO,talkto.io,,Disrupt EU 2014,Contestant,Operating,,,,,,,
Talkdesk,talkdesk.com,$24.5M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Talkz,talkz.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
TallyGo,tallygo.com,$1M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Tango Tech,tangopc.com,$350K,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Teach The People,teachthepeople.com,$300K,TC40 2007,Contestant,Closed,,,,,,,
Tello Applications,,$4.7M,Disrupt SF 2010,Contestant,Closed,,,,,,,
Textingly,textingly.com,$650K,Disrupt NYC 2010,Contestant,Closed,,,,,,,
The Eye Tribe,theeyetribe.com,$5.3M,Hardware Battlefield 2014,Contestant,Acquired,,,,,,,
The Whuffie Bank,thewhuffiebank.org,,TC50 2009,Contestant,Closed,,,,,,,
TheSwop.com,theswop.com,,TC50 2009,Contestant,Closed,,,,,,,
Thinkfuse,thinkfuse.com,$532K,Disrupt NYC 2011,Contestant,Acquired,,,,,,,
Thoora,thoora.com,$4.2M,TC50 2009,Contestant,Closed,,,,,,,
threadsy,threadsy.com,$6.3M,TC50 2009,Finalist,Acquired,,,,,,,
ThriftDB,thriftdb.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Tickreel,tickreel.com,,Disrupt NYC 2010,Contestant,Closed,,,,,,,
TidePool,tidepool.co,$1.5M,Disrupt SF 2013,Contestant,Operating,,,,,,,
TimeLooper,timelooper.com,$1.9M,Disrupt NY 2016,Contestant,Operating,,,,,,,
Tingz,tingz.net,$280K,TC50 2008,Contestant,Closed,,,,,,,
Tonara,tonara.com,$9.8M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Tonchidot,tonchidot.com,$16M,TC50 2008,Contestant,Operating,,,,,,,
ToonsTunes,toonstunes.com,,TC50 2009,Contestant,Closed,,,,,,,
TouchPal,touchpal.com,$25M,Disrupt Beijing 2011,Finalist,Operating,,,,,,,
Tovbot,tovbot.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
ToVieFor,toviefor.com,$93K,Disrupt SF 2010,Contestant,Closed,,,,,,,
ToyBots,toybots.com,,TC50 2009,Contestant,Closed,,,,,,,
Trace,traceapp.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Tracks.by,tracks.by,$88K,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Traction,traction.co,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
TRAIL,discovertrail.com,,Disrupt SF 2013,Contestant,Operating,,,,,,,
Trello,trello.com,$10.3M,Disrupt SF 2011,Finalist,Acquired,,,,,,,
TripIt,tripit.com,$13.1M,TC40 2007,Contestant,Acquired,,,,,,,
Trippy,trippy.com,$5.3M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Trollim,trollim.com,,TC50 2009,Contestant,Closed,,,,,,,
TrueCar,truecar.com,$332.4M,TC50 2008,Contestant,Ipo,,,,,,,
Trustev,trustev.com,$7.8M,Disrupt NYC 2013,Contestant,Acquired,,,,,,,
Trutap,trutap.com,$14.5M,TC40 2007,Contestant,Closed,,,,,,,
Tweegee,tweegee.com,$3M,TC50 2008,Contestant,Operating,,,,,,,
Twentify,twentify.com,$1M,Disrupt London 2015,Contestant,Operating,,,,,,,
UberConference,uberconference.com,$35M,Disrupt NYC 2012,Winner,Operating,,,,,,,
Udorse,udorse.com,$500K,TC50 2009,Contestant,Closed,,,,,,,
UJAM,ujam.com,$2M,Disrupt NYC 2010,Finalist,Operating,,,,,,,
Undrip,undrip.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
Ungeo,ungeo.cn,,Disrupt Beijing 2011,Audience choice,Operating,,,,,,,
UnifyID,unify.id,,Disrupt SF 2016,Finalist,Operating,,,,,,,
UnitedStyles,unitedstyles.com,,Disrupt Beijing 2011,Finalist,Closed,,,,,,,
UpScored,upscored.com,,Disrupt NY 2016,Contestant,Operating,,,,,,,
Upwork,upwork.com,$168.8M,TC50 2009,Audience choice,Operating,,,,,,,
UQ Life,uqlife.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Valor Water Analytics,valorwater.com,$2.8M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Vantage Robotics,vantagerobotics.com,,Hardware Battlefield 2016,Contestant,Operating,,,,,,,
Vault,getvault.com,$1.6M,Disrupt London 2016,Audience choice,Operating,,,,,,,
Venneos GmbH,venneos.com,$1.1M,-,Contestant,Operating,,,,,,,
Verious,verious.com,$800K,Disrupt SF 2011,Contestant,Closed,,,,,,,
Veyo Care,veyo-care.com,$830.2K,Disrupt London 2015,Contestant,Operating,,,,,,,
VIDA,vida.fm,,Disrupt Beijing 2011,Contestant,Closed,,,,,,,
VideoSurf,videosurf.com,$28M,TC50 2008,Contestant,Acquired,,,,,,,
Viewdle,viewdle.com,$12M,TC40 2007,Contestant,Acquired,,,,,,,
Vimo Labs,trackmy.fit,$1M,Disrupt NY 2015,Contestant,Operating,,,,,,,
Vinli,vin.li,$6.5M,Disrupt SF 2014,Finalist,Operating,,,,,,,
Vinylmint,vinylmint.com,$26.7K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
VisibleGains,visiblegains.com,$4.5M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
VIVE,vive.co,$2.3M,Disrupt NY 2015,Contestant,Operating,,,,,,,
voicesphere,voice-sphere.com,,Disrupt EU 2013,Finalist,Operating,,,,,,,
Voltera,voltera.io,$55K,Hardware Battlefield 2015,Winner,Operating,,,,,,,
Voxel,voxel.net,$7.1M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Voxy,voxy.com,$30.8M,Disrupt SF 2010,Contestant,Operating,,,,,,,
Vurb,vurb.com,$10M,Disrupt NYC 2014,Winner,Acquired,,,,,,,
WakaTime,wakatime.com,,Disrupt SF 2015,Contestant,Operating,,,,,,,
Wanderio,wanderio.com,$275K,Disrupt EU 2013,Contestant,Operating,,,,,,,
WaterO,wateropurifier.com,$85.7K,Disrupt NY 2016,Runner up,Operating,,,,,,,
WAZER,wazer.com,$1.4M,Disrupt SF 2016,Contestant,Operating,,,,,,,
WEconnect,weconnectrecovery.com,$2.1M,Disrupt SF 2016,Audience choice,Operating,,,,,,,
WeDemand,wedemand.com,$1M,Disrupt SF 2012,Contestant,Operating,,,,,,,
Wellth,wellthapp.com,$2.5M,Disrupt NY 2015,Contestant,Operating,,,,,,,
Wellthy,wellthy.com,$2M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Welltwigs,welltwigs.com,$50K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Weotta,weotta.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
What Now Travel,whatnowtravel.com,,Disrupt EU 2013,Contestant,Operating,,,,,,,
Wiivv,wiivv.com,$12.2M,Hardware Battlefield 2016,Runner up,Operating,,,,,,,
Wixi,wixi.com,,TC40 2007,Contestant,Closed,,,,,,,
WooMe,woome.com,$17.4M,TC40 2007,Finalist,Acquired,,,,,,,
Workspot,workspot.com,$15.8M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Xendo,xendo.com,$28K,Disrupt SF 2014,Contestant,Acquired,,,,,,,
Xobni,yahoo.com,$41.8M,TC40 2007,Contestant,Acquired,,,,,,,
Yammer,yammer.com,$142M,TC50 2008,Winner,Acquired,,,,,,,
Yap,yapme.com,$10M,TC40 2007,Contestant,Closed,,,,,,,
YayPay Inc,yaypay.com,$900K,Disrupt London 2015,Contestant,Operating,,,,,,,
Yext,yext.com,$117.8M,TC50 2009,Contestant,Ipo,,,,,,,
YOOBIC,yoobic.com,,Disrupt London 2015,Finalist,Operating,,,,,,,
YouNow,younow.com,$26M,Disrupt SF 2011,Contestant,Operating,,,,,,,
YourMechanic,yourmechanic.com,$28M,Disrupt SF 2012,Winner,Operating,,,,,,,
YourVersion,yourversion.com,,TC50 2009,Audience choice,Operating,,,,,,,
Yuwan,iyuwan.cn,,Disrupt Beijing 2011,Contestant,Closed,,,,,,,
ZAP!,zapreklam.com/,,Disrupt EU 2014,Audience choice,Operating,,,,,,,
ZEFR,zefr.com,$62.1M,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Zello,zello.com,,TC40 2007,Contestant,Operating,,,,,,,
Zenefits,zenefits.com,$583.6M,Disrupt NYC 2013,Finalist,Operating,,,,,,,
Zivity,zivity.com,$8M,TC40 2007,Contestant,Operating,,,,,,,
Zmorph,zmorph3d.com,$1M,-,Audience choice,Operating,,,,,,,
Zocdoc,zocdoc.com,$223M,TC40 2007,Contestant,Operating,,,,,,,
Zula,zulaapp.com,$3.4M,Disrupt SF 2013,Audience choice,Operating,,,,,,,
Zumper,zumper.com,$31.5M,Disrupt SF 2012,Finalist,Operating,,,,,,,
